The Killers,"October 27, 2014 at 06:44PM",Read My Mind,0.886563,"permanent wave,indie christmas,indie rock,vegas indie,rock,pop rock,pop christmas"
Arctic Monkeys,"October 27, 2014 at 06:49PM",Mad Sounds,0.459703,"sheffield indie,permanent wave,indie rock"
Muse,"October 27, 2014 at 06:52PM",Time Is Running Out,0.883226,"permanent wave,piano rock,rock"
Spoon,"October 27, 2014 at 06:56PM",I Turn My Camera On,0.372725,"indie rock,lo-fi,alternative rock,indie pop,chamber pop,garage rock,noise pop,neo-psychedelic,dance-punk,indie folk,stomp and holler"
Kasabian,"October 27, 2014 at 07:00PM",Test Transmission,0.900109,"garage rock,madchester,neo-psychedelic,indie rock,rock"
The Bravery,"October 27, 2014 at 07:04PM",An Honest Mistake,0.269371,"dance-punk,indie rock,new rave,garage rock,indietronica,alternative dance"
The Raconteurs,"October 27, 2014 at 07:08PM",Level,0.359231,"garage rock,indie rock,alternative rock,neo-psychedelic"
Arctic Monkeys,"October 27, 2014 at 07:10PM",Knee Socks,0.54163,"sheffield indie,permanent wave,indie rock"
Thievery Corporation,"October 27, 2014 at 09:59PM",Until the Morning,0.432882,"downtempo,chill-out,acid jazz,trip hop,lounge,nu jazz,electronic"
Bitter:Sweet,"October 27, 2014 at 10:04PM",Don't Forget To Breathe,0.650437,"lounge,chill-out,trip hop,downtempo fusion,downtempo,nu jazz"
Massive Attack,"October 27, 2014 at 10:07PM",Angel,0.3072,"trip hop,chill-out,electronic,downtempo,trance hop"
Portishead,"October 27, 2014 at 10:14PM",Strangers,0.621461,"trip hop,electronic,laboratorio,downtempo"
Jem,"October 27, 2014 at 10:18PM",They,0.782795,"lilith,pop rock,new wave pop,synthpop"
Morcheeba,"October 27, 2014 at 10:22PM",Blindfold,0.717499,"chill-out,trip hop,downtempo,electronic,bmore,nu jazz,lounge,big beat"
Ratatat,"October 28, 2014 at 10:56AM",Kennedy,0.75376,"indietronica,dance-punk,alternative dance,new rave,post rock,synthpop"
Robot Koch,"October 28, 2014 at 11:00AM",Hard To Find,0.607802,"wonky,glitch hop"
Wax Tailor,"October 28, 2014 at 11:04AM",Que Sera,0.736729,"trip hop,downtempo,illbient,ninja,chill-out,turntablism,nu jazz,electronic,big beat"
Parov Stelar,"October 28, 2014 at 11:07AM",The Golden Boy,0.585526,"electro swing,nu jazz,chill-out,downtempo,acid jazz,trip hop,ninja,lounge"
Gramatik,"October 28, 2014 at 03:47PM",Just Jammin',0.68383,"turntablism,trip hop,chill-out"
Arctic Monkeys,"October 28, 2014 at 03:52PM",Don't Sit Down 'Cause I've Moved Your Chair,0.893938,"sheffield indie,permanent wave,indie rock"
Vance Joy,"October 28, 2014 at 03:55PM",Riptide,0.729591,"pop,indie folk"
Jet,"October 28, 2014 at 03:59PM",Are You Gonna Be My Girl,0.914538,"garage rock,australian alternative rock,rock,alternative rock"
The Neighbourhood,"October 28, 2014 at 04:02PM",Sweater Weather,0.803093,"shimmer pop,shiver pop,indietronica"
Arctic Monkeys,"October 28, 2014 at 04:06PM",Do I Wanna Know?,0.572531,"sheffield indie,permanent wave,indie rock"
The Black Keys,"October 28, 2014 at 04:12PM",Sinister Kid,0.827868,"garage rock,punk blues,blues-rock,modern blues,indie rock"
Phoenix,"October 28, 2014 at 04:19PM",Lasso,0.623868,"indietronica,indie pop,synthpop,indie rock"
Arctic Monkeys,"October 28, 2014 at 04:22PM",Secret Door,0.801715,"sheffield indie,permanent wave,indie rock"
The Fratellis,"October 28, 2014 at 04:46PM",Flathead,0.948057,"garage rock,indie christmas,indie rock"
The Neighbourhood,"October 28, 2014 at 04:50PM",Staying Up,0.842762,"shimmer pop,shiver pop,indietronica"
The Black Keys,"October 28, 2014 at 04:54PM",I'll Be Your Man,0.610212,"garage rock,punk blues,blues-rock,modern blues,indie rock"
Sir Sly,"October 28, 2014 at 04:57PM",Gold,0.851989,la indie
The Killers,"October 28, 2014 at 05:00PM",Somebody Told Me,0.973307,"permanent wave,indie christmas,indie rock,vegas indie,rock,pop rock,pop christmas"
Miike Snow,"October 28, 2014 at 05:05PM",Animal,0.735821,"indietronica,alternative dance,synthpop,new rave,indie pop"
Arctic Monkeys,"October 28, 2014 at 05:09PM",My Propeller,0.658272,"sheffield indie,permanent wave,indie rock"
The Neighbourhood,"October 28, 2014 at 05:13PM",Afraid,0.588703,"shimmer pop,shiver pop,indietronica"
The Strokes,"October 28, 2014 at 05:21PM",12:51,0.892767,"garage rock,indie rock,permanent wave"
The Shins,"October 28, 2014 at 05:23PM",Young Pilgrims,0.339729,"indie pop,indie christmas,indie rock,chamber pop,indie folk,lo-fi,stomp and holler,neo-psychedelic,folk christmas,folk-pop,alternative rock"
Franz Ferdinand,"October 28, 2014 at 08:31PM",Take Me Out (live),0.896858,"dance-punk,indie rock,rock"
The Neighbourhood,"October 28, 2014 at 08:35PM",Alleyways,0.819001,"shimmer pop,shiver pop,indietronica"
Gorillaz,"October 28, 2014 at 08:39PM",Feel Good Inc.,0.406009,"electronic,rap rock,alternative rock"
The Kooks,"October 28, 2014 at 08:43PM",Love It All,0.785705,indie rock
Vampire Weekend,"October 28, 2014 at 08:47PM",A-Punk,0.845962,"indie pop,indie rock,indietronica,chamber pop,indie folk,lo-fi,folk-pop"
Franz Ferdinand,"October 29, 2014 at 01:55PM",Come On Home,0.872805,"dance-punk,indie rock,rock"
The Neighbourhood,"October 29, 2014 at 01:59PM",W.D.Y.W.F.M?,0.838432,"shimmer pop,shiver pop,indietronica"
Phoenix,"October 29, 2014 at 02:03PM",If I Ever Feel Better,0.55433,"indietronica,indie pop,synthpop,indie rock"
The White Stripes,"October 29, 2014 at 02:08PM",Hello Operator,0.835092,"garage rock,punk blues,permanent wave,alternative rock,indie rock,blues-rock"
